potilas potilaan potilasta potilaana potilaaseen potilaiden potilaita potilaina potilaissa potilaisiin

äiti äidin äitiä äitinä äitiin äitien äitejä äiteinä äideissä äiteihin

tytär tyttären tytärtä tyttärenä tyttäreen tytärten tyttäriä tyttärinä tyttärissä tyttäriin

vuoto vuodon vuotoa vuotona vuotoon vuotojen vuotoja vuotoina vuodoissa vuotoihin

syöpä syövän syöpää syöpänä syöpään syöpien syöpiä syöpinä syövissä syöpiin

sarja sarjan sarjaa sarjana sarjaan sarjojen sarjoja sarjoina sarjoissa sarjoihin

poisto poiston poistoa poistona poistoon poistojen poistoja poistoina poistoissa poistoihin

endometrioosi endometrioosin endometrioosia endometrioosina endometrioosiin endometrioosien endometriooseja endometriooseina endometriooseissa endometriooseihin

suoli suolen suolta suolena suoleen suolten/suolien suolia suolina suolissa suoliin

autosomi autosomin autosomia autosomina autosomiin autosomien autosomeja autosomeina autosomeissa autosomeihin

inkontinenssi inkontinenssin inkontinenssia inkontinenssina inkontinenssiin inkontinenssien inkontinensseja inkontinensseina inkontinensseissa inkontinensseihin

alku alun alkua alkuna alkuun alkujen alkuja alkuina aluissa alkuihin

tutkimus tutkimuksen tutkimusta tutkimuksena tutkimukseen tutkimusten tutkimuksia tutkimuksina tutkimuksissa tutkimuksiin

tulos tuloksen tulosta tuloksena tulokseen tulosten tuloksia tuloksina tuloksissa tuloksiin

Basedow Basedowin Basedowia Basedowina Basedowiin Basedowien Basedoweja Basedoweina Basedoweissa Basedoweihin

tauti taudin tautia tautina tautiin tautien tauteja tauteina taudeissa tauteihin

hypertyreoosi hypertyreoosin hypertyreoosia hypertyreoosina hypertyreoosiin hypertyreoosien hypertyreooseja hypertyreooseina hypertyreooseissa hypertyreooseihin

hoito hoidon hoitoa hoitona hoitoon hoitojen hoitoja hoitoina hoidoissa hoitoihin

oire oireen oiretta oireena oireeseen oireiden oireita oireina oireissa oireisiin

HYKS HYKS:n HYKS:ä HYKS:nä HYKS:ään HYKS:ien HYKS:iä HYKS:inä HYKS:issä HYKS:iin

