valo valon valoa valona valoon valojen valoja valoina valoissa valoihin

arvelu arvelun arvelua arveluna arveluun arvelujen arveluja arveluina arveluissa arveluihin

autio aution autiota autiona autioon autioiden autioita autioina autioissa autioihin

risti ristin ristiä ristinä ristiin ristien ristejä risteinä risteissä risteihin

paperi paperin paperia paperina paperiin papereiden papereita papereina papereissa papereihin

banaali banaalin banaalia banaalina banaaliin banaalien banaaleja banaaleina banaaleissa banaaleihin

kalsium kalsiumin kalsiumia kalsiumina kalsiumiin kalsiumien kalsiumeja kalsiumeina kalsiumeissa kalsiumeihin

lovi loven lovea lovena loveen lovien lovia lovina lovissa loviin

nalle nallen nallea nallena nalleen nallien nalleja nalleina nalleissa nalleihin

kala kalan kalaa kalana kalaan kalojen kaloja kaloina kaloissa kaloihin

koira koiran koiraa koirana koiraan koirien koiria koirina koirissa koiriin

matala matalan matalaa matalana matalaan matalien matalia matalina matalissa mataliin

asema aseman asemaa asemana asemaan asemien asemia asemina asemissa asemiin

kulkija kulkijan kulkijaa kulkijana kulkijaan kulkijoiden kulkijoita kulkijoina kulkijoissa kulkijoihin

karahka karahkan karahkaa karahkana karahkaan karahkojen karahkoja karahkoina karahkoissa karahkoihin

kantaja kantajan kantajaa kantajana kantajaan kantajien kantajia kantajina kantajissa kantajiin

peruna perunan perunaa perunana perunaan perunien perunia perunina perunissa peruniin

pasuuna pasuunan pasuunaa pasuunana pasuunaan pasuunojen pasuunoja pasuunoina pasuunoissa pasuunoihin

ainoa ainoan ainoata ainoana ainoaan ainoiden ainoita ainoina ainoissa ainoihin

herttua herttuan herttuaa herttuana herttuaan herttuoiden herttuoita herttuoina herttuoissa herttuoihin

korkea korkean korkeaa korkeana korkeaan korkeiden korkeita korkeina korkeissa korkeisiin/korkeihin

suurempi suuremman suurempaa suurempana suurempaan suurempien suurempia suurempina suuremmissa suurempiin

vapaa vapaan vapaata vapaana vapaaseen vapaiden vapaita vapaina vapaissa vapaisiin

tienoo tienoon tienoota tienoona tienoohon tienoiden tienoita tienoina tienoissa tienoihin

leikkuu leikkuun leikkuuta leikkuuna leikkuuhun leikkuiden leikkuita leikkuina leikkuissa leikkuihin

kamee kameen kameeta kameena kameehen/kameeseen kameiden kameita kameina kameissa kameihin/kameisiin

pii piin piitä piinä piihin piiden piitä piinä piissä piihin

maa maan maata maana maahan maiden maita maina maissa maihin

puu puun puuta puuna puuhun puiden puita puina puissa puihin

suo suon suota suona suohon soiden soita soina soissa soihin

bébé bébén bébétä bébénä bébéhen bébéiden bébéijä bébéinä bébéissä bébéihin

tuohi tuohen tuohta tuohena tuoheen tuohien tuohia tuohina tuohissa tuohiin

lohi lohen lohta lohena loheen lohien lohia lohina lohissa lohiin

lahti lahden lahtea lahtena lahteen lahtien lahtia lahtina lahdissa lahtiin

lumi lumen lunta lumena lumeen lumien lumia lumina lumissa lumiin

tuomi tuomen tuomea tuomena tuomeen tuomien tuomia tuomina tuomissa tuomiin

niemi niemen niemeä niemenä niemeen niemien niemiä nieminä niemissä niemiin

pieni pienen pientä pienenä pieneen pienten pieniä pieninä pienissä pieniin

nuori nuoren nuorta nuorena nuoreen nuorten nuoria nuorina nuorissa nuoriin

susi suden sutta sutena suteen susien susia susina susissa susiin

tosi toden totta totena toteen tosien tosia tosina tosissa tosiin

hirsi hirren hirttä hirtenä hirteen hirsien hirsiä hirsinä hirsissä hirsiin

jälsi jällen jälttä jältenä jälteen jälsien jälsiä jälsinä jälsissä jälsiin

kansi kannen kantta kantena kanteen kansien kansia kansina kansissa kansiin

lapsi lapsen lasta lapsena lapseen lasten/lapsien lapsia lapsina lapsissa lapsiin

hapsi hapsen hapsea hapsena hapseen hapsien hapsia hapsina hapsissa hapsiin

veitsi veitsen veistä veitsenä veitseen veisten/veitsien veitsiä veitsinä veitsissä veitsiin

peitsi peitsen peistä peitsenä peitseen peisten/peitsien peitsiä peitsinä peitsissä peitsiin

suksi suksen suksea suksena sukseen suksien suksia suksina suksissa suksiin

uksi uksen uksea uksena ukseen uksien uksia uksina uksissa uksiin

kaksi kahden kahta kahtena kahteen kaksien kaksia kaksina kaksissa kaksiin

sankari sankarin sankaria sankarina sankariin sankareiden sankareita sankareina sankareissa sankareihin

jumala jumalan jumalaa jumalana jumalaan jumalien jumalia jumalina jumalissa jumaliin

sisar sisaren sisarta sisarena sisareen sisarien sisaria sisarina sisarissa sisariin

ahven ahvenen ahventa ahvenena ahveneen ahventen/ahvenien ahvenia ahvenina ahvenissa ahveniin

uistin uistimen uistinta uistimena uistimeen uistimien uistimia uistimina uistimissa uistimiin

onneton onnettoman onnetonta onnettomana onnettomaan onnettomien onnettomia onnettomina onnettomissa onnettomiin

lämmin lämpimän lämmintä lämpimänä lämpimään lämpimien lämpimiä lämpiminä lämpimissä lämpimiin

pahin pahimman pahinta pahimpana pahimpaan pahimpien pahimpia pahimpina pahimmissa pahimpiin

vasen vasemman vasenta vasempana vasempaan vasempien vasempia vasempina vasemmissa vasempiin

muudan muudannen muudatta muudanna muudanteen muudansien muudansia muudansina muudansissa muudansiin

seitsemän seitsemän seitsemää seitsemänä seitsemään seitsemien seitsemiä seitseminä seitsemissä seitsemiin

