rakkaus rakkauden rakkautta rakkautena rakkauteen rakkauksien rakkauksia rakkauksina rakkauksissa rakkauksiin

hyvyys hyvyyden hyvyyttä hyvyytenä hyvyyteen hyvyyksien hyvyyksiä hyvyyksinä hyvyyksissä hyvyyksiin

nainen naisen naista naisena naiseen naisten naisia naisina naisissa naisiin

hyinen hyisen hyistä hyisenä hyiseen hyisten hyisiä hyisinä hyisissä hyisiin

maa maan maata maana maahan maiden maita maina maissa maihin

paluu paluun paluuta paluuna paluuhun paluiden paluita paluina paluissa paluihin

syy syyn syytä syynä syyhyn syiden syitä syinä syissä syihin

pii piin piitä piinä piihin piiden piitä piinä piissä piihin

hai hain haita haina haihin haiden haita haina haissa haihin

tienoo tienoon tienoota tienoona tienoohon tienoiden tienoita tienoina tienoissa tienoihin

suo suon suota suona suohon soiden soita soina soissa soihin

yö yön yötä yönä yöhön öiden öitä öinä öissä öihin

tie tien tietä tienä tiehen teiden teitä teinä teissä teihin

korkea korkean korkeaa korkeana korkeaan korkeiden korkeita korkeina korkeissa korkeisiin

äkeä äkeän äkeää äkeänä äkeään äkeiden äkeitä äkeinä äkeissä äkeisiin

kaunis kauniin kaunista kauniina kauniiseen kauniiden kauniita kauniina kauniissa kauniisiin

tyyris tyyriin tyyristä tyyriinä tyyriiseen tyyriiden tyyriitä tyyriinä tyyriissä tyyriisiin

ruis rukiin ruista rukiina rukiiseen rukiiden rukiita rukiina rukiissa rukiisiin

liitin liittimen liitintä liittimenä liittimeen liittimien liittimiä liittiminä liittimissä liittimiin

laidun laitumen laidunta laitumena laitumeen laitumien laitumia laitumina laitumissa laitumiin

luistin luistimen luistinta luistimena luistimeen luistimien luistimia luistimina luistimissa luistimiin

onneton onnettoman onnetonta onnettomana onnettomaan onnettomien onnettomia onnettomina onnettomissa onnettomiin

nimetön nimettömän nimetöntä nimettömänä nimettömään nimettömien nimettömiä nimettöminä nimettömissä nimettömiin

perhe perheen perhettä perheenä perheeseen perheiden perheitä perheinä perheissä perheisiin

olut oluen olutta oluena olueen oluiden oluita oluina oluissa oluisiin

lyhyt lyhyen lyhyttä lyhyenä lyhyeen lyhyiden lyhyitä lyhyinä lyhyissä lyhyisiin

rengas renkaan rengasta renkaana renkaaseen renkaiden renkaita renkaina renkaissa renkaisiin

taivas taivaan taivasta taivaana taivaaseen taivaiden taivaita taivaina taivaissa taivaisiin

piennar pientaren piennarta pientarena pientareen pientarien/piennarten pientaria pientarina pientarissa pientariin

sisar sisaren sisarta sisarena sisareen sisarien/sisarten sisaria sisarina sisarissa sisariin

rae rakeen raetta rakeena rakeeseen rakeiden rakeita rakeina rakeissa rakeisiin

syke sykkeen sykettä sykkeenä sykkeeseen sykkeiden sykkeitä sykkeinä sykkeissä sykkeisiin

taive taipeen taivetta taipeena taipeeseen taipeiden taipeita taipeina taipeissa taipeisiin

toive toiveen toivetta toiveena toiveeseen toiveiden toiveita toiveina toiveissa toiveisiin

selkä selän selkää selkänä selkään selkien selkiä selkinä selissä selkiin

sukka sukan sukkaa sukkana sukkaan sukkien sukkia sukkina sukissa sukkiin

kappa kapan kappaa kappana kappaan kappojen kappoja kappoina kapoissa kappoihin

kauppa kaupan kauppaa kauppana kauppaan kauppojen kauppoja kauppoina kaupoissa kauppoihin

seura seuran seuraa seurana seuraan seurojen seuroja seuroina seuroissa seuroihin

suku suvun sukua sukuna sukuun sukujen sukuja sukuina suvuissa sukuihin

ukko ukon ukkoa ukkona ukkoon ukkojen ukkoja ukkoina ukoissa ukkoihin

