eläin eläimen eläintä eläimenä eläimeen eläimien eläimiä eläiminä eläimissä eläimiin

selkä selän selkää selkänä selkään selkien selkiä selkinä selissä selkiin

vatsa vatsan vatsaa vatsana vatsaan vatsojen vatsoja vatsoina vatsoissa vatsoihin

lintu linnun lintua lintuna lintuun lintujen lintuja lintuina linnuissa lintuihin

luu luun luuta luuna luuhun luiden luita luina luissa luihin

rinta rinnan rintaa rintana rintaan rintojen rintoja rintoina rinnoissa rintoihin

lapsi lapsen lasta lapsena lapseen lasten/lapsien lapsia lapsina lapsissa lapsiin

pilvi pilven pilveä pilvenä pilveen pilvien pilviä pilvinä pilvissä pilviin

päivä päivän päivää päivänä päivään päivien päiviä päivinä päivissä päiviin

koira koiran koiraa koirana koiraan koirien koiria koirina koirissa koiriin

korva korvan korvaa korvana korvaan korvien korvia korvina korvissa korviin

muna munan munaa munana munaan munien munia munina munissa muniin

silmä silmän silmää silmänä silmään silmien silmiä silminä silmissä silmiin

höyhen höyhenen höyhentä höyhenenä höyheneen höyhenten höyheniä höyheninä höyhenissä höyheniin

kynsi kynnen kynttä kyntenä kynteen kynsien kynsiä kynsinä kynsissä kynsiin

tuli tulen tulta tulena tuleen tulien/tulten tulia tulina tulissa tuliin

kala kalan kalaa kalana kalaan kalojen kaloja kaloina kaloissa kaloihin

kukka kukan kukkaa kukkana kukkaan kukkien kukkia kukkina kukissa kukkiin

jalka jalan jalkaa jalkana jalkaan jalkojen jalkoja jalkoina jaloissa jalkoihin

metsä metsän metsää metsänä metsään metsien metsiä metsinä metsissä metsiin

hedelmä hedelmän hedelmää hedelmänä hedelmään hedelmien hedelmiä hedelminä hedelmissä hedelmiin

ruoho ruohon ruohoa ruohona ruohoon ruohojen ruohoja ruohoina ruohoissa ruohoihin

sisälmys sisälmyksen sisälmystä sisälmyksenä sisälmykseen sisälmysten sisälmyksiä sisälmyksinä sisälmyksissä sisälmyksiin

hius hiuksen hiusta hiuksena hiukseen hiusten hiuksia hiuksina hiuksissa hiuksiin

käsi käden kättä kätenä käteen käsien käsiä käsinä käsissä käsiin

