锕 a1  副 fu4  稇 kun3  穹 qiong2  龤 xie2  
吖 a1  付 fu4  困 kun3/kun4  邛 qiong2  脅 xie2  
啊 a1/a2/a3/a4/a  附 fu4  睏 kun4  蛩 qiong2  諧 xie2  
阿 a1/a4/a/e1  妇 fu4  括 kuo4  跫 qiong2  綊 xie2  
呵 a1/he1  腹 fu4  扩 kuo4  筇 qiong2  颉 xie2/jie2  
嗄 a2/sha4  赋 fu4  阔 kuo4  茕 qiong2  写 xie3  
埃 ai1  覆 fu4  廓 kuo4  窮 qiong2  藛 xie3  
哀 ai1  赴 fu4  蛞 kuo4  蛬 qiong2  血 xie3/xue4  
哎 ai1  傅 fu4  闊 kuo4  藑 qiong2  谢 xie4  
锿 ai1  咐 fu4  筈 kuo4  睘 qiong2  械 xie4  
挨 ai1/ai2  阜 fu4  霩 kuo4  赹 qiong2  泄 xie4  
唉 ai1/ai4  驸 fu4  秳 kuo4  秋 qiu1  卸 xie4  
皑 ai2  蝮 fu4  鞟 kuo4  丘 qiu1  屑 xie4  
捱 ai2  馥 fu4  鞡 la  邱 qiu1  懈 xie4  
騃 ai2  讣 fu4  蓝 la/lan2  蚯 qiu1  泻 xie4  
癌 ai2/yan2  鲋 fu4  拉 la1  鳅 qiu1  蟹 xie4  
矮 ai3  褔 fu4  垃 la1  楸 qiu1  亵 xie4  
蔼 ai3  赙 fu4  邋 la1  趥 qiu1  榭 xie4  
霭 ai3  負 fu4  啦 la1/la  鞧 qiu1  燮 xie4  
靄 ai3  袝 fu4  喇 la1/la3  鞦 qiu1  邂 xie4  
嗳 ai3/ai4  賦 fu4  旯 la2  秌 qiu1  獬 xie4  
爱 ai4  祔 fu4  砬 la2  鰌 qiu1  瀣 xie4  
艾 ai4  鳆 fu4  剌 la2/la4  鹙 qiu1  謝 xie4  
碍 ai4  禣 fu4  藞 la3  穐 qiu1  榍 xie4  
隘 ai4  訃 fu4  腊 la4  龝 qiu1  渫 xie4  
暧 ai4  鍑 fu4  辣 la4  求 qiu2  廨 xie4  
嗌 ai4  蕧 fu4  蜡 la4  球 qiu2  躞 xie4  
砹 ai4  縛 fu4  瘌 la4  囚 qiu2  绁 xie4  
嫒 ai4  旮 ga1  鱲 la4  裘 qiu2  薤 xie4  
瑷 ai4  噶 ga2  镴 la4  酋 qiu2  韰 xie4  
礙 ai4  钆 ga2  臘 la4  虬 qiu2  薢 xie4  
鴱 ai4  尜 ga2  辢 la4  泅 qiu2  齛 xie4  
靉 ai4  嘎 ga2/ga1  臈 la4  遒 qiu2  缷 xie4  
賹 ai4  尕 ga3  蠟 la4  俅 qiu2  蠏 xie4  
鑀 ai4  尬 ga4  落 la4/luo4  逑 qiu2  蝑 xie4  
薆 ai4  该 gai1  来 lai2  鰽 qiu2  骱 xie4/jie4  
安 an1  赅 gai1  莱 lai2  巯 qiu2  心 xin1  
庵 an1  垓 gai1  涞 lai2  犰 qiu2  新 xin1  
氨 an1  陔 gai1  徕 lai2  赇 qiu2  辛 xin1  
鞍 an1  該 gai1  崃 lai2  虯 qiu2  欣 xin1  
谙 an1  荄 gai1  铼 lai2  絿 qiu2  薪 xin1  
鹌 an1  賅 gai1  萊 lai2  蛷 qiu2  芯 xin1  
桉 an1  改 gai3  鶆 lai2  銶 qiu2  馨 xin1  
鮟 an1  概 gai4  赖 lai4  訅 qiu2  锌 xin1  
闇 an1  丐 gai4  睐 lai4  肍 qiu2  鑫 xin1  
鶕 an1  钙 gai4  籁 lai4  觓 qiu2  忻 xin1  
盦 an1  溉 gai4  濑 lai4  蝤 qiu2/you2  歆 xin1  
盫 an1  蓋 gai4  癞 lai4  糗 qiu3  昕 xin1  
韽 an1  戤 gai4  赉 lai4  趋 qu1  鋅 xin1  
裺 an1  鈣 gai4  賴 lai4  驱 qu1  信 xin4  
鴳 an1  葢 gai4  睞 lai4  屈 qu1  衅 xin4  
鵪 an1  盖 gai4/ge3  賚 lai4  躯 qu1  囟 xin4  
俺 an3  甘 gan1  鵣 lai4  岖 qu1  舋 xin4  
铵 an3  肝 gan1  兰 lan2  蛐 qu1  星 xing1  
埯 an3  尴 gan1  拦 lan2  祛 qu1  猩 xing1  
揞 an3  竿 gan1  栏 lan2  蛆 qu1  腥 xing1  
罯 an3  柑 gan1  篮 lan2  诎 qu1  惺 xing1  
案 an4  苷 gan1  岚 lan2  黢 qu1  篂 xing1  
按 an4  矸 gan1  澜 lan2  麴 qu1  骍 xing1  
暗 an4  酐 gan1  婪 lan2  袪 qu1  兴 xing1/xing4  
岸 an4  泔 gan1  阑 lan2  趨 qu1  形 xing2  
黯 an4  疳 gan1  斓 lan2  胠 qu1  型 xing2  
胺 an4  坩 gan1  褴 lan2  驅 qu1  刑 xing2  
犴 an4  筸 gan1  镧 lan2  麹 qu1  邢 xing2  
貋 an4  粓 gan1  谰 lan2  麯 qu1  硎 xing2  
肮 ang1  飦 gan1  襕 lan2  軀 qu1  陉 xing2  
骯 ang1  杆 gan1/gan3  蘭 lan2  鰸 qu1  铏 xing2  
昂 ang2  干 gan1/gan4  讕 lan2  曲 qu1/qu3  饧 xing2/tang2  
盎 ang4  乾 gan1/qian2  葻 lan2  渠 qu2  荥 xing2/ying2  
凹 ao1  感 gan3  藍 lan2  衢 qu2  醒 xing3  
