hakea haen hakee hakevat hakekaa haetaan hain haki hakisi hakenut haettu

päteä päden pätee pätevät pätekää pädetään pädin päti pätisi pätenyt pädetty

sopia sovin sopii sopivat sopikaa sovitaan sovin sopi sopisi sopinut sovittu

räkiä räin räkii räkivät räkikää räitään räin räki räkisi räkinyt räitty

sitoa sidon sitoo sitovat sitokaa sidotaan sidoin sitoi sitoisi sitonut sidottu

hukkua hukun hukkuu hukkuvat hukkukaa hukutaan hukuin hukkui hukkuisi hukkunut hukuttu

häipyä häivyn häipyy häipyvät häipykää häivytään häivyin häipyi häipyisi häipynyt häivytty

mysöä mysön mysöö mysövät mysökää mysötään mysöin mysöi mysöisi mysönyt mysötty

kiiltää kiillän kiiltää kiiltävät kiiltäkää kiilletään kiilsin kiilsi kiiltäisi kiiltänyt kiilletty

sammaltaa sammallan sammaltaa sammaltavat sammaltakaa sammalletaan sammalsin sammalsi sammaltaisi sammaltanut sammallettu

oksentaa oksennan oksentaa oksentavat oksentakaa oksennetaan oksensin oksensi oksentaisi oksentanut oksennettu

kumartaa kumarran kumartaa kumartavat kumartakaa kumarretaan kumarsin kumarsi kumartaisi kumartanut kumarrettu

kattaa katan kattaa kattavat kattakaa katetaan katoin kattoi kattaisi kattanut katettu

otattaa otatan otattaa otattavat otattakaa otatetaan otatin otatti otattaisi otattanut otatettu

opastaa opastan opastaa opastavat opastakaa opastetaan opastin opasti opastaisi opastanut opastettu

sataa sadan sataa satavat satakaa sadetaan sadoin satoi sataisi satanut sadettu

auttaa autan auttaa auttavat auttakaa autetaan autoin auttoi auttaisi auttanut autettu

pitää pidän pitää pitävät pitäkää pidetään pidin piti pitäisi pitänyt pidetty

vetää vedän vetää vetävät vetäkää vedetään vedin veti vetäisi vetänyt vedetty

ravistaa ravistan ravistaa ravistavat ravistakaa ravistetaan ravistin ravisti ravistaisi ravistanut ravistettu

kuunnella kuuntelen kuuntelee kuuntelevat kuunnelkaa kuunnellaan kuuntelin kuunteli kuuntelisi kuunnellut kuunneltu

hypellä hyppelen hyppelee hyppelevät hypelkää hypellään hyppelin hyppeli hyppelisi hypellyt hypelty

kävellä kävelen kävelee kävelevät kävelkää kävellään kävelin käveli kävelisi kävellyt kävelty

juosta juoksen juoksee juoksevat juoskaa juostaan juoksin juoksi juoksisi juossut juostu

syöstä syöksen syöksee syöksevät syöskää syöstään syöksin syöksi syöksisi syössyt syösty

panna panen panee panevat pankaa pannaan panin pani panisi pannut pantu

haista haisen haisee haisevat haiskaa haistaan haisin haisi haisisi haissut haistu

purra puren puree purevat purkaa purraan purin puri purisi purrut purtu

mennä menen menee menevät menkää mennään menin meni menisi mennyt menty

palella palelen palelee palelevat palelkaa palellaan palelin paleli palelisi palellut paleltu

harkita harkitsen harkitse harkitsevat harkitkaa harkitaan harkitsin harkitsi harkitsisi harkinnut harkittu

merkitä merkitsen merkitse merkitsevät merkitkää merkitään merkitsin merkitsi merkitsisi merkinnyt merkitty

haljeta halkean halkeaa halkeavat haljetkaa haljetaan halkesin halkesi halkeaisi haljennut haljettu

valjeta valkenen valkenee valkenevat valjetkaa valjetaan valkenin valkeni valkenisi valjennut valjettu

kerjetä kerkeän kerkeää kerkeävät kerjetkää kerjetään kerkesin kerkesi kerkeäisi kerjennyt kerjetty

pelätä pelkään pelkää pelkäävät pelätkää pelätään pelkäsin pelkäsi pelkäisi pelännyt pelätty

paeta pakenen pakenee pakenevat paetkaa paetaan pakenin pakeni pakenisi paennut paettu

pudota putoan putoaa putoavat pudotkaa pudotaan putosin putosi putoaisi pudonnut pudottu

vastata vastaan vastaa vastaavat vastatkaa vastataan vastasin vastasi vastaisi vastannut vastattu

karhuta karhuan karhuaa karhuavat karhutkaa karhutaan karhusin karhusi karhuaisi karhunnut karhuttu

älytä älyän älyää älyävät älytkää älytään älysin älysi älyäisi älynnyt älytty

hypätä hyppään hyppää hyppäävät hypätkää hypätään hyppäsin hyppäsi hyppäisi hypännyt hypätty

yrjötä yrjöän yrjöää yrjöävät yrjötkää yrjötään yrjösin yrjösi yrjöäisi yrjönnyt yrjötty

ällötä ällöän ällöää ällöävät ällötkää ällötään ällösin ällösi ällöäisi ällönnyt ällötty

naida nain nai naivat naikaa naidaan nain nai naisi nainut naitu

uida uin ui uivat uikaa uidaan uin ui uisi uinut uitu

haravoida haravoin haravoi haravoivat haravoikaa haravoidaan haravoin haravoi haravoisi haravoinut haravoitu

saada saan saa saavat saakaa saadaan sain sai saisi saanut saatu

jäädä jään jää jäävät jääkää jäädään jäin jäi jäisi jäänyt jääty

huutaa huudan huutaa huutavat huutakaa huudetaan huudin huuti huutaisi huutanut huudettu

olla olen olee olevat olkaa ollaan olin oli olisi ollut oltu

tehdä teen tekee tekevät tehkää tehdään tein teki tekisi tehnyt tehty

nähdä näen näkee näkevät nähkää nähdään näin näki näkisi nähnyt nähty

käydä käyn käy käyvät käykää käydään kävin kävi kävisi käynyt käyty

